,School,Wins,FG%,FT%,3P%,ORB,TRB,AST,STL,BLK,TOV,PF,tWins
119,Hawaii,11,0.446,0.72,0.365,210,721,236,115,30,277,338,0
120,High Point,9,0.416,0.687,0.29,279,851,292,158,90,303,428,0
121,Hofstra,13,0.443,0.717,0.33,241,816,293,152,68,279,368,0
122,Holy Cross,5,0.445,0.698,0.356,150,521,190,108,61,206,305,0
123,Houston Baptist,5,0.429,0.734,0.344,208,776,331,156,87,391,392,0
124,Houston,21,0.438,0.733,0.356,352,990,326,205,110,265,453,4
125,Howard,1,0.435,0.718,0.309,41,177,74,26,25,72,89,0
126,Idaho State,13,0.45,0.708,0.34,229,831,270,105,81,345,413,0
127,Idaho,1,0.428,0.73,0.339,148,625,254,105,42,343,398,0
128,Illinois-Chicago,9,0.429,0.659,0.327,183,766,297,81,68,291,409,0
129,Illinois State,7,0.46,0.661,0.345,206,881,345,150,84,345,411,0
130,Illinois,20,0.5,0.686,0.382,274,1044,420,146,73,350,462,1
131,Incarnate Word,8,0.446,0.706,0.381,160,651,260,114,39,295,370,0
132,Indiana State,15,0.433,0.734,0.333,207,796,267,164,73,302,373,0
133,Indiana,12,0.435,0.671,0.331,232,900,362,149,97,313,465,0
134,Iona,8,0.453,0.745,0.359,143,471,196,92,60,209,297,0
135,Iowa State,2,0.418,0.779,0.322,193,723,264,147,73,346,427,0
136,Iowa,20,0.474,0.71,0.396,310,1092,518,151,118,256,400,1
137,Purdue-Fort Wayne,8,0.501,0.689,0.4,177,721,328,156,64,393,413,0
138,IUPUI,8,0.423,0.718,0.344,168,608,239,124,40,250,340,0
139,Jackson State,11,0.39,0.675,0.331,168,590,169,130,51,252,310,0
140,Jacksonville State,18,0.461,0.685,0.356,299,1048,383,135,94,360,413,0
141,Jacksonville,11,0.437,0.664,0.323,206,800,269,164,63,343,372,0
142,James Madison,13,0.452,0.668,0.342,220,747,276,149,40,243,375,0
143,Kansas State,8,0.409,0.664,0.291,271,887,349,141,43,401,465,0
144,Kansas,19,0.439,0.71,0.343,311,1037,370,182,113,334,417,1
145,Kennesaw State,5,0.42,0.659,0.312,215,815,260,138,60,341,429,0
146,Kent State,15,0.446,0.777,0.327,282,873,319,149,76,296,371,0
147,Kentucky,9,0.417,0.734,0.332,290,921,294,152,146,344,433,0
148,La Salle,9,0.436,0.685,0.34,234,829,318,186,83,361,431,0
149,Lafayette,9,0.436,0.804,0.36,133,525,243,94,51,163,280,0
150,Lamar,8,0.407,0.736,0.303,255,883,303,181,101,354,420,0
151,Lehigh,4,0.431,0.701,0.316,137,521,191,90,32,196,268,0
152,Liberty,23,0.492,0.777,0.391,198,934,446,128,64,271,407,0
153,Lipscomb,15,0.46,0.692,0.351,208,918,364,167,53,326,376,0
154,Cal State Long Beach,5,0.438,0.678,0.346,125,550,183,99,50,258,307,0
155,Long Island University,9,0.415,0.667,0.287,240,705,293,152,69,259,315,0
156,Longwood,12,0.434,0.686,0.345,268,929,295,173,50,367,485,0
157,Louisiana,17,0.444,0.698,0.348,317,1027,332,145,122,388,457,0
158,Louisiana-Monroe,7,0.416,0.703,0.34,205,791,355,193,74,338,433,0
159,Louisiana State,16,0.469,0.746,0.345,268,915,300,194,66,292,424,1
160,Louisiana Tech,20,0.448,0.681,0.342,267,1016,323,176,67,332,397,0
161,Louisville,13,0.438,0.717,0.311,211,725,214,92,36,221,321,0
162,Loyola (IL),24,0.505,0.723,0.368,201,914,442,194,67,334,399,2
163,Loyola Marymount,13,0.458,0.726,0.338,215,772,280,103,58,351,417,0
164,Loyola (MD),5,0.462,0.607,0.3,169,565,195,112,52,218,278,0
165,Maine,2,0.381,0.569,0.315,69,281,108,51,40,147,161,0
166,Manhattan,7,0.38,0.671,0.271,233,680,225,145,69,278,427,0
167,Marist,12,0.432,0.685,0.309,144,698,222,111,78,291,349,0
168,Marquette,13,0.449,0.736,0.328,251,947,326,132,96,372,447,0
169,Marshall,15,0.478,0.727,0.364,173,745,336,164,110,251,319,0
170,Maryland-Baltimore County,14,0.439,0.711,0.341,175,730,219,102,35,258,336,0
172,Maryland,15,0.458,0.701,0.357,172,904,359,136,94,302,402,1
173,Massachusetts-Lowell,11,0.46,0.659,0.358,191,756,262,112,84,320,451,0
174,Massachusetts,8,0.428,0.733,0.326,136,517,224,110,61,181,261,0
175,McNeese State,10,0.495,0.687,0.392,244,854,428,167,45,339,395,0
176,Memphis,15,0.441,0.618,0.355,269,885,355,197,112,360,428,0
177,Mercer,18,0.479,0.718,0.371,252,1053,479,200,86,373,445,0
178,Merrimack,9,0.449,0.663,0.317,124,556,216,144,68,245,305,0
179,Miami (FL),8,0.419,0.693,0.293,234,851,269,160,94,304,299,0
180,Miami (OH),12,0.438,0.771,0.366,217,766,268,98,56,240,370,0
181,Michigan State,15,0.425,0.729,0.322,285,978,418,116,123,334,512,0
182,Michigan,19,0.488,0.765,0.386,200,831,336,97,97,256,329,3
183,Middle Tennessee,5,0.388,0.68,0.321,217,743,219,159,50,333,360,0
184,Milwaukee,10,0.436,0.732,0.329,197,770,285,134,47,244,405,0
185,Minnesota,13,0.394,0.756,0.286,315,984,374,169,122,296,502,0
186,Mississippi State,14,0.455,0.641,0.349,329,1049,351,176,128,402,421,0
187,Mississippi Valley State,2,0.357,0.567,0.332,155,709,256,104,67,416,413,0
188,Mississippi,15,0.442,0.695,0.297,298,904,309,198,94,349,429,0
189,Missouri-Kansas City,11,0.497,0.66,0.366,175,730,355,190,50,300,524,0
190,Missouri State,17,0.478,0.742,0.35,188,887,325,112,69,305,369,0
191,Missouri,15,0.451,0.697,0.319,231,821,306,151,81,303,453,0
192,Monmouth,12,0.428,0.706,0.365,191,722,270,153,67,261,394,0
193,Montana State,11,0.46,0.749,0.342,169,663,237,113,41,250,376,0
194,Montana,13,0.462,0.791,0.372,197,844,324,114,65,333,508,0
195,Morehead State,23,0.461,0.682,0.351,309,1125,382,132,150,459,432,0
196,Morgan State,12,0.44,0.742,0.348,251,743,295,148,71,292,393,0
197,Mount St. Mary's,11,0.427,0.675,0.339,226,775,249,96,81,281,317,0
198,Murray State,13,0.497,0.672,0.368,239,939,435,175,91,347,432,0
199,Navy,15,0.447,0.709,0.326,204,631,222,147,43,223,301,0
200,Omaha,5,0.418,0.688,0.335,212,853,236,141,75,327,471,0
201,Nebraska,7,0.419,0.635,0.336,233,952,355,185,84,368,450,0
202,Nevada-Las Vegas,11,0.445,0.705,0.35,261,903,327,159,69,309,460,0
