,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
303,Tarleton State,20,10,10,.500,-8.07,-3.80,,5,7,,6,3,,4,7,,1467,1246,,800,530,1129,.469,110,291,.378,297,412,.721,170,639,294,209,53,231,391
304,Temple,15,5,10,.333,3.33,6.40,,4,10,,3,5,,2,5,,982,1028,,600,324,807,.401,108,319,.339,226,317,.713,141,539,198,64,31,203,259
305,Tennessee-Martin,24,8,16,.333,-18.85,-5.33,,6,14,,6,7,,2,9,,1571,1847,,970,556,1393,.399,165,495,.333,294,409,.719,260,775,289,172,62,343,429
306,Tennessee State,23,4,19,.174,-13.48,-6.62,,3,17,,4,8,,0,11,,1573,1702,,930,568,1342,.423,138,480,.288,299,438,.683,215,775,268,170,73,353,478
307,Tennessee Tech,27,5,22,.185,-13.45,-3.15,,5,15,,5,6,,0,16,,1797,2075,,1085,656,1517,.432,208,648,.321,277,410,.676,245,908,380,176,62,430,430
308,Tennessee,24,17,7,.708,18.13,8.38,,10,7,,13,3,,4,4,,1739,1505,,960,608,1371,.443,157,466,.337,366,491,.745,259,859,357,172,109,293,392
309,Texas A&M-Corpus Christi,24,5,19,.208,-16.69,-6.02,,2,13,,4,8,,1,10,,1554,1716,,960,542,1296,.418,153,464,.330,317,463,.685,206,816,308,165,74,401,425
310,Texas A&M,17,8,9,.471,3.02,5.20,,2,8,,6,4,,2,4,,1089,1126,,680,374,900,.416,110,366,.301,231,316,.731,182,564,201,120,32,252,282
311,Texas-Arlington,26,13,13,.500,-6.90,-4.25,,9,8,,9,4,,3,8,,1916,1827,,1045,677,1658,.408,235,659,.357,327,444,.736,303,974,353,214,122,311,434
312,Texas Christian,25,12,13,.480,3.93,7.65,,5,11,,6,7,,3,6,,1688,1781,,1005,605,1374,.440,171,499,.343,305,451,.676,243,864,330,149,88,352,394
313,Texas-El Paso,23,12,11,.522,1.49,1.39,,8,8,,10,2,,2,9,,1628,1568,,925,584,1371,.426,168,506,.332,292,391,.747,199,794,279,145,64,254,400
314,Texas-Rio Grande Valley,18,9,9,.500,-9.47,-5.90,,2,5,,8,3,,1,6,,1315,1210,,720,455,1112,.409,124,413,.300,281,440,.639,249,719,277,166,78,269,393
315,Texas-San Antonio,24,14,10,.583,-1.33,-0.33,,9,7,,12,2,,2,8,,1911,1764,,960,712,1583,.450,196,578,.339,291,383,.760,278,927,351,154,79,284,437
316,Texas Southern,21,13,8,.619,-8.56,-10.31,,10,3,,8,2,,5,6,,1553,1475,,840,563,1265,.445,97,342,.284,330,474,.696,256,861,259,153,98,332,373
317,Texas State,25,18,7,.720,-3.66,-7.18,,12,3,,8,3,,9,3,,1660,1543,,1015,629,1359,.463,139,366,.380,263,372,.707,231,821,331,171,73,332,421
318,Texas Tech,26,17,9,.654,16.72,6.68,,9,8,,11,4,,5,4,,1906,1645,,1050,662,1489,.445,162,468,.346,420,588,.714,299,914,337,183,108,283,457
319,Texas,24,17,7,.708,16.22,9.52,,11,6,,8,5,,6,2,,1798,1637,,975,631,1394,.453,207,587,.353,329,469,.701,258,928,317,155,90,334,479
320,Toledo,27,20,7,.741,8.53,-1.43,,15,4,,12,1,,7,5,,2196,1927,,1090,768,1677,.458,292,757,.386,368,469,.785,282,1018,441,164,65,296,409
321,Towson,18,4,14,.222,-8.97,-1.47,,3,9,,4,4,,0,6,,1214,1349,,730,434,1055,.411,90,311,.289,256,352,.727,225,666,170,90,50,224,318
322,Troy,28,11,17,.393,-11.42,-3.42,,4,12,,7,4,,2,11,,1829,1942,,1125,636,1596,.398,171,619,.276,386,555,.695,302,1056,320,175,87,417,480
323,Tulane,21,9,12,.429,0.98,2.93,,4,12,,6,6,,3,6,,1341,1382,,840,440,1158,.380,141,467,.302,320,424,.755,176,691,241,158,63,246,335
324,Tulsa,22,11,11,.500,5.06,6.01,,7,9,,7,5,,4,4,,1503,1432,,880,542,1196,.453,147,472,.311,272,402,.677,189,738,309,142,43,296,361
325,UCLA,25,17,8,.680,12.93,8.25,,13,6,,11,1,,5,6,,1815,1698,,1025,659,1422,.463,168,451,.373,329,457,.720,241,868,346,127,66,276,392
326,Utah State,25,18,7,.720,11.01,0.14,,13,4,,10,2,,5,3,,1859,1572,,1000,682,1508,.452,165,482,.342,330,460,.717,313,1013,412,178,116,343,385
327,Utah Valley,21,11,10,.524,-3.57,-2.52,,9,4,,8,4,,3,6,,1570,1557,,845,575,1189,.484,111,314,.354,309,496,.623,223,814,366,110,98,316,409
328,Utah,23,11,12,.478,9.75,7.10,,8,11,,8,5,,3,7,,1620,1559,,920,597,1281,.466,152,438,.347,274,346,.792,175,716,354,129,80,294,374
329,Valparaiso,28,10,18,.357,-3.63,1.71,,7,11,,6,6,,4,11,,1821,1902,,1130,660,1576,.419,189,635,.298,312,429,.727,196,920,356,183,97,346,445
330,Vanderbilt,23,8,15,.348,6.57,7.44,,3,13,,6,7,,2,8,,1652,1672,,920,565,1304,.433,212,602,.352,310,430,.721,228,778,292,163,56,324,408
331,Vermont,15,10,5,.667,2.88,-6.72,,10,4,,6,3,,4,2,,1095,951,,610,383,828,.463,116,337,.344,213,273,.780,126,524,211,75,39,183,266
332,Villanova,21,16,5,.762,18.50,9.65,,11,4,,9,0,,4,4,,1591,1405,,845,557,1236,.451,194,546,.355,283,366,.773,202,725,323,113,32,193,320
333,Virginia Commonwealth,25,19,6,.760,12.57,5.41,,10,4,,12,2,,5,3,,1799,1620,,1005,637,1406,.453,162,492,.329,363,477,.761,233,858,338,236,136,371,467
334,VMI,25,13,12,.520,0.26,-0.10,,7,7,,11,1,,1,10,,2001,1897,,1010,706,1517,.465,270,711,.380,319,413,.772,203,963,393,134,75,314,364
335,Virginia Tech,20,15,5,.750,14.09,6.74,,9,4,,10,2,,3,3,,1442,1295,,810,506,1123,.451,165,467,.353,265,377,.703,191,706,285,93,81,234,319
336,Virginia,23,17,6,.739,16.98,8.59,,13,4,,10,1,,6,3,,1575,1382,,925,583,1211,.481,193,500,.386,216,266,.812,147,729,318,113,97,214,296
337,Wagner,20,13,7,.650,-3.36,-5.91,,13,5,,7,3,,6,4,,1425,1374,,815,533,1205,.442,117,368,.318,242,337,.718,247,713,258,147,51,246,406
338,Wake Forest,21,6,15,.286,2.78,9.28,,3,15,,5,6,,1,9,,1381,1503,,845,474,1154,.411,183,535,.342,250,345,.725,183,680,238,133,47,293,352
339,Washington State,26,14,12,.538,6.14,4.71,,7,12,,11,5,,3,6,,1794,1757,,1070,609,1481,.411,202,588,.344,374,527,.710,294,986,320,160,92,391,477
340,Washington,25,5,20,.200,-0.47,9.53,,4,16,,4,7,,1,9,,1664,1914,,1000,604,1443,.419,186,565,.329,270,384,.703,203,778,265,148,92,341,451
341,Weber State,22,17,5,.773,2.89,-6.16,,12,3,,11,0,,6,5,,1806,1514,,880,631,1242,.508,186,473,.393,358,456,.785,139,726,336,144,68,276,363
342,West Virginia,26,18,8,.692,16.05,10.55,,11,6,,8,5,,7,2,,2018,1875,,1055,683,1594,.428,189,526,.359,463,645,.718,353,998,361,189,74,313,427
343,Western Carolina,27,11,16,.407,-6.80,-1.40,,4,13,,6,5,,4,9,,2039,2129,,1105,716,1577,.454,226,662,.341,381,525,.726,211,928,359,133,75,382,455
344,Western Illinois,22,7,15,.318,-12.64,-4.78,,5,9,,2,5,,4,9,,1606,1746,,880,550,1362,.404,157,497,.316,349,488,.715,258,839,225,116,67,286,444
345,Western Kentucky,24,18,6,.750,5.19,-0.14,,11,3,,11,2,,5,3,,1773,1645,,965,621,1361,.456,149,435,.343,382,489,.781,258,919,317,160,103,357,346
346,Western Michigan,21,5,16,.238,-10.16,0.14,,4,12,,2,9,,3,7,,1325,1511,,840,499,1153,.433,141,427,.330,186,291,.639,167,710,245,93,42,305,346
347,Wichita State,19,15,4,.789,10.35,7.41,,11,2,,10,2,,5,2,,1393,1289,,770,469,1145,.410,156,459,.340,299,433,.691,236,735,249,112,66,220,305
348,William & Mary,17,7,10,.412,-10.28,-3.04,,4,6,,1,3,,5,6,,1101,1224,,685,388,948,.409,98,342,.287,227,303,.749,170,574,183,90,56,232,265
349,Winthrop,24,23,1,.958,5.25,-7.50,,17,1,,11,1,,10,0,,1909,1603,,960,674,1463,.461,203,575,.353,358,522,.686,312,966,361,186,57,340,436
350,Wisconsin,27,16,11,.593,18.16,12.31,,10,10,,11,5,,5,6,,1887,1729,,1090,664,1578,.421,229,649,.353,330,434,.760,227,912,357,163,102,237,440
351,Wofford,24,15,9,.625,2.31,0.31,,12,5,,9,3,,6,4,,1784,1627,,965,646,1374,.470,246,692,.355,246,349,.705,216,829,351,160,48,306,380
352,Wright State,24,18,6,.750,8.08,-6.47,,16,4,,9,4,,9,2,,1967,1618,,965,710,1471,.483,179,484,.370,368,508,.724,284,1015,369,141,87,314,328
353,Wyoming,23,13,10,.565,-2.60,-2.56,,5,9,,7,5,,4,5,,1738,1739,,930,589,1330,.443,228,652,.350,332,468,.709,194,751,317,133,49,266,433
354,Xavier,20,13,7,.650,12.60,7.70,,6,7,,11,2,,2,5,,1502,1404,,805,561,1225,.458,153,476,.321,227,327,.694,188,755,355,143,82,226,312
355,Yale,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
356,Youngstown State,27,15,12,.556,-8.61,-7.00,,9,11,,10,5,,5,7,,2010,1950,,1095,717,1672,.429,186,606,.307,390,537,.726,346,991,349,163,44,310,441
