Quarter,Time,Down,ToGo,Location,Detail,MIN,CIN,EPB,EPA
2,1:39,2,20,MIN 15,Kirk Cousins pass complete short left to Ameer Abdullah for 5 yards (tackle by Vonn Bell),7,7,-1.430,-1.290
2,1:33,3,15,MIN 20,Kirk Cousins pass complete short middle to Tyler Conklin for 6 yards (tackle by Vonn Bell),7,7,-1.290,-1.630
2,1:23,4,9,MIN 26,Jordan Berry punts 61 yards returned by Darius Phillips for 12 yards (tackle by Harrison Hand),7,7,-1.630,-0.610
2,1:11,1,10,CIN 25,Joe Burrow pass complete short middle to Tee Higgins for 14 yards (tackle by Bashaud Breeland and Harrison Smith),7,7,0.610,1.530
2,0:53,1,10,CIN 39,Joe Burrow pass complete short middle to Joe Mixon for 2 yards (tackle by Nick Vigil),7,7,1.530,1.260
2,0:47,2,8,CIN 41,Joe Burrow pass complete short left to Tyler Boyd for 9 yards (tackle by Mackensie Alexander),7,7,1.260,2.260
2,0:42,1,10,CIN 50,Joe Burrow pass complete deep right to Ja'Marr Chase for 50 yards touchdown,7,13,2.260,7.000
2,0:35,,,MIN 15,Evan McPherson kicks extra point good,7,14,0.000,0.000
2,0:35,,,CIN 35,Evan McPherson kicks off 65 yards touchback.,7,14,0.000,0.610
2,0:35,1,10,MIN 25,Penalty on Brian O'Neill: False Start 5 yards (accepted) (no play),7,14,0.610,0.280
2,0:35,1,15,MIN 20,Kirk Cousins pass complete deep middle to Adam Thielen for 20 yards (tackle by Logan Wilson),7,14,0.280,1.600
2,0:30,1,10,MIN 40,Kirk Cousins pass complete short right to Dede Westbrook for no gain (tackle by Vonn Bell). Penalty on Rashod Hill: Offensive Holding 10 yards (accepted) (no play),7,14,1.600,0.940
2,0:24,1,20,MIN 30,Kirk Cousins pass complete short left to Adam Thielen for no gain (tackle by Ricardo Allen and Larry Ogunjobi),7,14,0.940,-0.300
2,0:20,2,20,MIN 30,Kirk Cousins pass incomplete short right intended for K.J. Osborn Penalty on MIN: Illegal Formation 5 yards (declined),7,14,-0.300,-0.960
