,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
264,Saint Mary's (CA) NCAA,34,22,12,.647,12.58,4.40,,11,5,,14,3,,5,5,,2463,2185,,64.3,99.5,.291,.316,.523,45.6,43.1,7.6,9.2,.489,14.6,22.8,.214
265,Saint Peter's,32,10,22,.313,-12.15,-6.40,,6,12,,7,7,,2,14,,2012,2196,,64.3,104.6,.385,.405,.553,49.1,53.4,10.9,9.3,.512,16.6,27.8,.285
266,Sam Houston State,33,21,12,.636,-3.17,-5.84,,16,2,,12,2,,8,9,,2476,2307,,68.6,100.0,.413,.405,.543,48.7,55.6,8.3,8.2,.504,19.0,27.3,.291
267,Samford,33,17,16,.515,0.69,-2.03,,6,12,,11,6,,5,9,,2583,2487,,71.2,103.2,.284,.442,.525,49.7,54.0,9.2,7.9,.496,15.7,30.7,.200
268,San Diego State,34,21,13,.618,5.29,2.47,,11,7,,14,3,,4,7,,2437,2291,,68.9,97.9,.330,.420,.512,48.8,54.2,8.5,7.5,.478,16.6,27.8,.230
269,San Diego,36,21,15,.583,6.12,3.61,,7,9,,12,4,,5,9,,2591,2455,,68.0,98.9,.368,.324,.532,48.1,44.4,9.6,9.8,.492,16.0,21.8,.266
270,San Francisco,31,21,10,.677,8.56,1.13,,9,7,,13,3,,6,5,,2358,2101,,67.3,99.9,.303,.332,.520,47.8,43.5,7.1,10.6,.486,15.3,25.7,.219
271,San Jose State,31,4,27,.129,-16.37,0.59,,1,17,,4,11,,0,12,,2042,2534,,71.3,113.7,.272,.478,.576,50.3,58.9,10.9,8.1,.562,13.6,27.7,.178
272,Santa Clara,31,16,15,.516,-1.91,0.92,,8,8,,11,6,,4,6,,2115,2172,,67.4,102.7,.354,.343,.523,50.8,54.3,9.5,8.3,.486,14.2,28.0,.249
273,Savannah State,31,11,20,.355,-20.51,-9.04,,8,8,,6,5,,4,14,,2360,2694,,78.1,110.8,.326,.410,.565,53.8,62.5,9.1,10.6,.536,16.3,33.7,.234
274,Seattle,33,18,15,.545,-1.47,-3.85,,6,10,,12,6,,4,8,,2420,2283,,69.7,98.5,.377,.331,.509,47.7,41.0,8.4,7.1,.464,14.3,25.9,.274
275,Seton Hall NCAA,34,20,14,.588,10.25,8.34,,9,9,,11,4,,3,8,,2508,2443,,70.1,101.4,.328,.402,.535,50.0,53.1,8.1,11.7,.496,17.3,29.2,.244
276,Siena,33,17,16,.515,-7.90,-6.47,,11,7,,7,7,,8,7,,2131,2178,,61.5,105.4,.273,.359,.549,53.2,43.5,7.6,8.2,.526,15.8,28.1,.188
277,South Alabama,34,17,17,.500,-4.46,-2.71,,8,10,,13,6,,3,10,,2478,2465,,68.9,104.1,.368,.363,.545,52.4,53.7,8.2,13.6,.514,17.2,31.3,.252
278,South Carolina State,34,8,26,.235,-16.86,-8.30,,5,11,,5,6,,2,19,,2388,2593,,69.2,108.9,.395,.398,.586,49.4,50.8,7.9,8.6,.558,18.3,29.6,.277
279,South Carolina Upstate,32,6,26,.188,-15.30,-4.27,,1,16,,5,9,,1,15,,2169,2395,,69.4,107.0,.385,.358,.557,53.3,51.5,8.9,10.0,.523,16.6,31.4,.273
280,South Carolina,32,16,16,.500,8.34,9.63,,11,7,,11,6,,4,8,,2327,2316,,71.2,101.3,.392,.395,.535,50.1,50.5,9.4,10.2,.490,18.0,31.2,.290
281,South Dakota State,33,24,9,.727,5.92,-4.74,,14,2,,14,1,,7,6,,2789,2425,,72.8,100.9,.240,.477,.524,46.7,48.3,7.5,8.7,.501,14.2,22.6,.165
282,South Dakota,30,13,17,.433,-5.52,-3.06,,7,9,,8,6,,4,8,,2118,2136,,68.1,104.2,.334,.366,.552,52.1,45.1,7.4,10.9,.515,15.9,25.5,.249
283,South Florida,38,24,14,.632,5.96,1.69,,8,10,,18,5,,5,7,,2752,2553,,69.5,94.5,.426,.374,.522,45.3,57.9,9.8,12.8,.481,19.2,25.3,.293
284,Southeast Missouri State,31,10,21,.323,-11.32,-4.39,,5,13,,6,8,,2,13,,2216,2378,,70.2,107.1,.333,.417,.554,51.2,54.4,8.4,10.5,.521,15.4,28.3,.241
285,Southeastern Louisiana,33,17,16,.515,-7.59,-6.30,,12,6,,9,5,,7,9,,2224,2228,,67.6,99.8,.385,.351,.542,47.8,46.5,10.4,11.6,.500,19.0,28.2,.283
286,Southern California,33,16,17,.485,8.23,4.96,,8,10,,12,5,,2,9,,2518,2410,,71.0,101.3,.300,.387,.519,51.3,55.0,8.1,7.6,.491,15.7,29.9,.204
287,SIU Edwardsville,31,10,21,.323,-14.47,-5.06,,6,12,,7,8,,2,11,,2265,2520,,71.9,109.5,.381,.372,.588,51.8,52.5,9.6,7.5,.561,17.1,28.2,.267
288,Southern Illinois,32,17,15,.531,1.39,-0.17,,10,8,,9,6,,7,7,,2194,2144,,66.8,100.3,.256,.396,.522,49.2,51.0,9.5,8.6,.496,16.5,29.1,.179
289,Southern Methodist,32,15,17,.469,5.81,4.12,,6,12,,10,8,,3,7,,2303,2249,,66.5,105.6,.295,.411,.532,49.1,62.2,7.3,7.7,.500,14.9,30.8,.214
290,Southern Mississippi,33,20,13,.606,2.58,-0.83,,11,7,,11,3,,7,7,,2392,2160,,67.4,96.4,.286,.468,.506,49.9,54.2,8.0,7.6,.482,16.9,26.2,.185
291,Southern Utah,34,17,17,.500,-8.91,-6.22,,9,11,,11,4,,4,12,,2573,2566,,73.5,101.2,.377,.383,.537,49.8,49.1,8.8,10.4,.498,15.7,24.0,.270
292,Southern,32,7,25,.219,-16.79,-7.37,,6,12,,6,5,,1,18,,2077,2360,,68.3,107.5,.490,.359,.581,52.1,51.8,9.2,9.1,.547,19.4,32.2,.338
293,St. Bonaventure,34,18,16,.529,3.34,0.25,,12,6,,9,5,,6,7,,2250,2145,,65.1,95.1,.315,.430,.501,49.4,51.5,8.7,7.6,.472,17.2,28.3,.207
294,St. Francis (NY),33,17,16,.515,-10.19,-8.45,,9,9,,11,3,,6,12,,2345,2320,,70.6,99.3,.384,.315,.526,50.9,44.8,7.2,10.6,.481,17.1,27.4,.281
295,St. John's (NY) NCAA,34,21,13,.618,7.88,5.50,,8,10,,11,4,,4,7,,2623,2542,,72.6,101.8,.397,.422,.545,54.2,54.2,7.0,6.4,.507,18.5,29.2,.282
296,Stanford,31,15,16,.484,6.03,5.13,,8,10,,10,4,,4,9,,2255,2227,,71.8,99.6,.329,.273,.511,48.6,40.9,8.9,8.8,.479,15.0,28.3,.223
297,Stephen F. Austin,30,14,16,.467,-10.99,-5.92,,7,11,,10,6,,3,9,,2105,2161,,69.8,102.3,.352,.439,.548,51.0,64.2,9.7,7.8,.516,19.3,32.2,.249
298,Stetson,31,7,24,.226,-15.01,-3.46,,3,13,,7,8,,0,16,,2151,2429,,71.6,109.0,.322,.408,.565,52.2,57.1,9.0,8.8,.540,16.0,30.8,.224
299,Stony Brook,33,24,9,.727,-2.10,-6.48,,12,4,,10,4,,13,4,,2364,2188,,69.9,93.8,.361,.420,.494,45.8,52.0,9.0,10.6,.458,16.6,25.6,.242
300,Syracuse NCAA,34,20,14,.588,13.73,10.09,,10,8,,13,6,,6,4,,2370,2246,,67.2,98.0,.343,.481,.520,51.6,67.8,9.8,9.9,.480,19.6,33.3,.247
301,Temple NCAA,33,23,10,.697,8.17,4.93,,13,5,,13,2,,8,5,,2465,2358,,70.5,99.9,.339,.383,.535,51.8,50.1,7.7,6.8,.506,18.0,28.4,.230
302,Tennessee-Martin,31,12,19,.387,-10.94,-4.32,,6,12,,10,4,,1,14,,2356,2486,,71.2,111.8,.268,.415,.582,51.4,59.2,9.6,8.3,.562,16.8,33.2,.187
303,Tennessee State,30,9,21,.300,-11.62,-3.15,,6,12,,6,7,,3,14,,2182,2332,,73.1,105.4,.532,.355,.576,50.0,45.7,8.7,10.8,.532,18.3,27.4,.380
304,Tennessee Tech,31,8,23,.258,-14.76,-3.00,,4,14,,5,10,,3,13,,2104,2350,,72.9,103.2,.320,.366,.536,51.7,59.9,11.5,9.1,.503,17.0,31.7,.228
305,Tennessee NCAA,37,31,6,.838,21.55,10.16,,15,3,,18,0,,7,3,,3035,2580,,69.4,98.7,.343,.406,.504,47.7,51.2,8.8,6.3,.475,15.6,29.4,.224
306,Texas A&M-Corpus Christi,32,14,18,.438,-9.11,-5.68,,9,9,,9,7,,5,9,,2126,2124,,67.3,97.8,.397,.408,.527,47.4,57.5,9.7,9.3,.480,18.1,25.8,.293
307,Texas A&M,32,14,18,.438,7.21,8.59,,6,12,,9,8,,3,7,,2253,2297,,69.4,103.5,.270,.428,.519,49.3,58.3,10.3,12.6,.493,15.6,32.4,.185
308,Texas-Arlington,33,17,16,.515,-0.50,0.84,,12,6,,9,5,,7,10,,2284,2303,,69.0,99.3,.374,.384,.518,48.4,52.1,8.8,11.4,.480,16.1,27.7,.260
309,Texas Christian,37,23,14,.622,13.81,9.60,,7,11,,15,5,,3,7,,2730,2574,,69.4,98.9,.277,.360,.515,48.3,59.8,8.6,10.6,.484,16.2,28.3,.197
310,Texas-El Paso,29,8,21,.276,-8.23,-1.71,,3,15,,8,8,,0,13,,1859,2001,,70.0,97.8,.329,.367,.513,49.6,48.1,9.6,10.4,.485,16.7,27.3,.216
311,Texas-Rio Grande Valley,37,20,17,.541,-2.04,-1.61,,9,7,,11,9,,8,7,,2634,2623,,71.9,97.9,.429,.345,.541,54.2,57.0,8.4,8.7,.503,21.3,32.4,.298
312,Texas-San Antonio,32,17,15,.531,0.69,0.05,,11,7,,11,4,,5,7,,2481,2407,,74.0,100.5,.336,.399,.527,50.8,48.6,7.8,8.5,.492,16.0,26.8,.238
313,Texas Southern,38,24,14,.632,-5.55,-6.99,,14,4,,10,2,,13,11,,3102,3008,,76.3,101.7,.316,.357,.536,49.3,55.0,9.4,9.0,.513,17.3,30.3,.206
314,Texas State,34,24,10,.706,1.54,-3.00,,12,6,,11,4,,10,5,,2470,2204,,68.5,93.9,.389,.393,.518,45.7,48.6,9.2,10.8,.473,19.0,24.1,.282
315,Texas Tech NCAA,38,31,7,.816,22.79,9.53,,14,4,,17,1,,6,3,,2765,2261,,67.6,87.4,.367,.403,.475,49.2,49.5,9.2,7.0,.430,19.8,27.5,.255
316,Texas,37,21,16,.568,16.06,11.46,,8,10,,15,6,,2,8,,2628,2458,,66.4,99.0,.297,.358,.517,50.7,48.0,7.6,10.1,.487,16.5,29.2,.206
317,Toledo,33,25,8,.758,8.21,0.71,,13,5,,14,2,,8,5,,2537,2256,,69.7,97.3,.266,.349,.494,47.5,41.1,9.2,8.0,.466,13.8,25.5,.182
318,Towson,32,10,22,.313,-8.44,-3.57,,6,12,,5,8,,4,8,,2170,2294,,64.5,108.6,.329,.461,.554,46.3,59.7,8.3,5.7,.518,13.6,26.5,.245
319,Troy,30,12,18,.400,-6.12,-1.01,,5,13,,8,8,,4,10,,2179,2242,,69.6,106.6,.321,.380,.548,51.2,48.9,8.7,5.8,.519,15.5,30.3,.225
320,Tulane,31,4,27,.129,-6.72,3.63,,0,18,,3,12,,0,11,,2082,2403,,72.0,107.8,.316,.387,.533,51.4,51.8,10.4,9.7,.506,12.9,30.0,.215
321,Tulsa,32,18,14,.563,4.65,3.86,,8,10,,14,3,,3,8,,2296,2271,,69.9,100.8,.304,.440,.513,51.3,55.7,9.5,9.3,.482,15.1,28.8,.210
322,UCLA,33,17,16,.515,7.17,6.78,,9,9,,13,5,,3,7,,2580,2567,,73.7,104.4,.276,.414,.524,47.2,60.5,9.4,8.6,.496,13.1,27.1,.194
323,Utah State NCAA,35,28,7,.800,11.98,0.89,,15,3,,14,1,,9,4,,2753,2349,,70.0,95.2,.340,.398,.504,43.8,51.0,8.7,9.5,.464,15.6,22.2,.243
324,Utah Valley,35,25,10,.714,3.00,-2.30,,12,4,,14,1,,8,8,,2697,2474,,70.4,100.4,.290,.362,.521,46.9,52.0,10.4,8.1,.489,14.7,25.1,.208
325,Utah,31,17,14,.548,6.13,5.10,,11,7,,10,5,,6,5,,2343,2311,,67.9,109.4,.325,.364,.555,47.7,47.8,8.7,13.2,.523,12.9,26.9,.234
326,Valparaiso,33,15,18,.455,-3.38,-1.00,,7,11,,8,7,,5,8,,2205,2187,,66.4,98.6,.310,.354,.523,49.2,50.6,10.2,7.9,.491,16.7,25.8,.218
327,Vanderbilt,32,9,23,.281,3.57,7.79,,0,18,,8,10,,1,10,,2180,2315,,68.9,104.6,.333,.356,.531,49.9,47.2,9.4,11.3,.495,14.2,29.2,.238
328,Vermont NCAA,34,27,7,.794,4.88,-4.18,,14,2,,16,2,,11,4,,2508,2143,,66.5,94.2,.274,.378,.517,46.8,46.0,8.2,8.3,.484,17.5,21.3,.200
329,Villanova NCAA,36,26,10,.722,14.33,7.97,,13,5,,13,2,,5,6,,2654,2425,,65.0,102.5,.282,.397,.531,48.7,56.1,7.9,8.8,.504,15.4,27.4,.197
330,Virginia Commonwealth NCAA,33,25,8,.758,11.96,2.87,,16,2,,16,1,,8,4,,2344,2044,,69.0,89.1,.366,.332,.478,49.2,50.7,9.2,7.9,.435,20.0,30.6,.252
331,VMI,32,11,21,.344,-10.50,0.09,,4,14,,8,7,,2,13,,2433,2617,,73.5,110.3,.311,.394,.574,52.8,52.1,8.1,11.2,.548,15.2,27.0,.221
332,Virginia Tech NCAA,35,26,9,.743,19.28,7.79,,12,6,,14,2,,5,5,,2574,2172,,64.4,95.6,.263,.499,.520,48.1,56.5,7.7,10.0,.490,19.0,27.0,.190
333,Virginia NCAA,38,35,3,.921,25.46,10.15,,16,2,,15,1,,10,1,,2714,2132,,60.8,91.3,.263,.425,.475,46.1,43.4,8.1,8.3,.447,15.4,24.7,.175
334,Wagner,30,13,17,.433,-12.99,-7.63,,8,10,,7,7,,6,10,,1974,2044,,66.4,102.1,.464,.414,.546,48.0,54.3,8.8,9.4,.502,17.5,27.6,.329
335,Wake Forest,31,11,20,.355,1.21,8.47,,4,14,,8,8,,1,10,,2119,2344,,68.8,109.1,.352,.403,.562,47.8,56.6,10.2,11.7,.533,14.2,27.1,.245
336,Washington State,32,11,21,.344,-1.67,2.20,,4,14,,9,7,,2,8,,2393,2517,,71.6,109.8,.284,.417,.564,51.8,53.2,10.2,7.9,.547,15.0,29.5,.186
337,Washington NCAA,36,27,9,.750,12.01,7.01,,15,3,,15,1,,7,4,,2511,2331,,67.4,95.8,.340,.353,.513,52.4,58.6,8.9,7.6,.475,20.5,34.5,.241
338,Weber State,33,18,15,.545,-4.37,-6.12,,11,9,,10,5,,5,7,,2617,2454,,73.4,100.5,.307,.327,.512,51.1,45.1,7.8,7.4,.480,13.9,25.8,.215
339,West Virginia,36,15,21,.417,6.94,10.57,,4,14,,11,7,,0,10,,2655,2786,,71.7,106.5,.380,.362,.560,46.9,50.3,11.4,10.0,.524,16.3,28.5,.273
340,Western Carolina,32,7,25,.219,-9.28,0.34,,4,14,,4,8,,3,14,,2304,2563,,71.3,111.0,.404,.382,.571,47.6,46.5,12.2,14.1,.544,13.1,25.1,.273
341,Western Illinois,31,10,21,.323,-10.04,-5.18,,4,12,,7,6,,2,14,,2198,2272,,69.5,105.0,.269,.383,.538,51.1,46.5,8.4,7.2,.516,13.6,25.1,.182
342,Western Kentucky,34,20,14,.588,3.14,0.96,,11,7,,10,4,,6,8,,2429,2355,,69.0,98.9,.256,.408,.515,48.4,52.0,8.4,9.5,.489,16.1,27.5,.175
343,Western Michigan,32,8,24,.250,-6.26,1.48,,2,16,,5,9,,2,14,,2246,2439,,70.2,107.0,.296,.386,.544,48.5,50.6,11.1,9.8,.518,13.6,27.4,.206
344,Wichita State,37,22,15,.595,7.72,5.91,,10,8,,10,4,,7,7,,2609,2542,,69.3,98.8,.388,.373,.515,47.9,49.8,7.4,10.6,.476,15.4,26.6,.269
345,William & Mary,31,14,17,.452,-4.78,-2.08,,10,8,,9,5,,5,11,,2321,2385,,69.2,109.0,.300,.366,.561,50.1,48.5,9.6,8.2,.526,13.7,25.5,.229
346,Winthrop,30,18,12,.600,-2.89,-3.74,,10,6,,11,3,,7,8,,2499,2358,,75.1,103.8,.294,.407,.532,46.6,47.7,9.7,10.8,.501,13.6,24.6,.210
347,Wisconsin NCAA,34,23,11,.676,17.90,11.01,,14,6,,12,3,,8,5,,2333,2099,,64.8,93.5,.258,.350,.479,50.2,45.5,7.8,10.8,.452,15.0,26.3,.172
348,Wofford NCAA,35,30,5,.857,13.92,0.80,,18,0,,15,1,,11,3,,2879,2295,,68.5,95.0,.304,.402,.521,45.5,48.5,7.9,7.3,.490,18.0,23.8,.214
349,Wright State,35,21,14,.600,3.29,-0.89,,13,5,,15,2,,5,8,,2561,2365,,67.4,99.8,.280,.381,.548,47.7,44.5,8.0,10.3,.523,18.3,25.0,.195
350,Wyoming,32,8,24,.250,-9.75,0.19,,4,14,,6,10,,1,11,,2105,2411,,70.2,106.9,.345,.407,.551,55.3,56.8,9.7,9.4,.514,15.1,28.0,.254
351,Xavier,35,19,16,.543,9.61,8.06,,9,9,,13,5,,4,8,,2526,2472,,66.5,104.7,.249,.422,.531,46.6,55.7,10.2,8.9,.507,13.7,27.2,.174
352,Yale NCAA,30,22,8,.733,5.52,-1.24,,10,4,,11,2,,8,5,,2427,2202,,72.9,99.5,.305,.380,.509,47.1,48.9,9.4,7.9,.471,13.5,24.1,.223
353,Youngstown State,32,12,20,.375,-7.78,-2.05,,8,10,,6,7,,5,11,,2415,2526,,70.6,109.6,.370,.386,.566,48.5,51.3,8.2,9.2,.530,14.9,28.6,.272
