,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
68,Coppin State,33,8,25,.242,-18.90,-7.11,,7,9,,3,7,,4,16,,2118,2507,,71.9,104.8,.336,.401,.534,51.2,55.3,10.3,8.5,.502,14.6,28.4,.234
69,Cornell,31,15,16,.484,-6.12,-2.02,,7,7,,9,4,,6,12,,2149,2211,,69.6,100.8,.267,.339,.522,53.3,43.3,8.8,11.4,.494,15.5,27.3,.187
70,Creighton,35,20,15,.571,12.00,8.59,,9,9,,13,6,,4,8,,2727,2561,,70.2,102.7,.273,.398,.549,49.8,51.9,8.9,10.8,.528,17.0,25.9,.186
71,Dartmouth,30,11,19,.367,-5.75,-3.00,,2,12,,8,6,,2,12,,2160,2116,,68.3,102.4,.262,.339,.541,49.6,45.4,9.1,9.0,.516,14.9,23.5,.185
72,Davidson,34,24,10,.706,6.38,1.96,,14,4,,14,2,,7,5,,2409,2229,,66.1,98.8,.294,.438,.513,49.1,54.8,7.7,7.4,.481,14.9,24.4,.209
73,Dayton,33,21,12,.636,9.67,2.91,,13,5,,13,4,,7,4,,2406,2183,,66.2,98.8,.238,.405,.505,48.0,51.7,8.0,8.1,.479,14.6,27.1,.167
74,Delaware State,31,6,25,.194,-26.82,-10.13,,2,14,,3,9,,2,15,,1956,2371,,72.6,105.3,.377,.392,.553,53.3,58.2,9.5,10.9,.517,17.2,30.7,.270
75,Delaware,33,17,16,.515,-7.91,-4.82,,8,10,,9,7,,7,8,,2352,2380,,64.7,108.2,.277,.379,.543,51.2,50.9,8.1,8.9,.513,13.1,27.9,.202
76,Denver,30,8,22,.267,-11.84,-2.97,,3,13,,6,7,,1,14,,2086,2319,,69.1,111.5,.282,.435,.585,48.5,52.1,8.5,7.2,.561,14.3,22.9,.204
77,DePaul,36,19,17,.528,6.00,4.05,,7,11,,16,7,,3,9,,2821,2751,,71.7,105.9,.309,.432,.563,46.3,52.2,9.4,7.6,.532,15.8,24.6,.226
