,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
151,Lipscomb,37,29,8,.784,9.21,-1.20,,14,2,,14,3,,14,4,,3076,2597,,1480,929,2227,.417,279,875,.319,460,614,.749,303,1229,460,241,139,558,730
152,Cal State Long Beach,34,15,19,.441,-4.57,-0.44,,8,8,,9,5,,4,12,,2545,2584,,1375,948,2133,.444,248,757,.328,440,640,.688,414,1331,459,262,117,490,721
153,Long Island University,32,16,16,.500,-8.99,-9.08,,9,9,,8,5,,7,9,,2373,2337,,1285,823,1944,.423,209,634,.330,482,680,.709,356,1191,402,221,119,436,591
154,Longwood,34,16,18,.471,-8.43,-6.62,,5,11,,10,5,,5,12,,2407,2408,,1375,806,1932,.417,320,950,.337,474,626,.757,290,1161,450,196,110,429,589
155,Louisiana,32,19,13,.594,-2.07,-1.51,,10,8,,10,4,,7,7,,2612,2575,,1290,903,1951,.463,256,695,.368,513,699,.734,363,1215,411,202,95,485,624
156,Louisiana-Monroe,35,19,16,.543,0.81,-1.96,,9,9,,14,3,,4,12,,2773,2637,,1425,962,2116,.455,292,827,.353,421,589,.715,358,1205,471,195,126,433,634
157,Louisiana State NCAA,35,28,7,.800,16.50,9.16,,16,2,,15,2,,9,1,,2815,2558,,1435,900,2085,.432,281,833,.337,477,691,.690,388,1200,405,225,113,508,670
158,Louisiana Tech,33,20,13,.606,0.95,-2.31,,9,9,,15,1,,4,10,,2386,2235,,1335,804,1882,.427,245,737,.332,382,555,.688,322,1174,453,185,114,439,612
159,Louisville NCAA,34,20,14,.588,17.28,11.04,,10,8,,14,4,,5,6,,2536,2324,,1380,819,2007,.408,239,746,.320,447,643,.695,330,1176,392,195,117,380,652
160,Loyola (IL),34,20,14,.588,3.99,-0.16,,12,6,,13,4,,5,7,,2231,2066,,1360,764,1749,.437,248,683,.363,290,409,.709,223,992,395,194,140,448,523
161,Loyola Marymount,34,22,12,.647,2.93,0.90,,8,8,,12,4,,8,7,,2278,2125,,1360,715,1703,.420,230,729,.316,465,610,.762,265,1007,470,196,123,488,629
162,Loyola (MD),32,11,21,.344,-9.13,-4.60,,7,11,,7,5,,3,16,,2332,2477,,1295,885,1819,.487,254,646,.393,453,588,.770,291,1069,496,232,140,468,569
163,Maine,32,5,27,.156,-15.11,-4.21,,3,13,,3,9,,2,18,,1988,2271,,1310,757,1661,.456,303,792,.383,454,639,.710,274,1064,490,230,77,418,493
164,Manhattan,32,11,21,.344,-12.89,-7.32,,8,10,,4,9,,4,11,,1833,2011,,1285,650,1499,.434,227,627,.362,484,683,.709,287,1066,388,201,114,473,563
165,Marist,31,12,19,.387,-9.49,-7.53,,7,11,,4,7,,6,11,,2086,2147,,1250,728,1637,.445,278,782,.355,413,588,.702,259,1015,409,175,99,395,541
166,Marquette NCAA,34,24,10,.706,14.78,6.96,,12,6,,16,3,,6,4,,2629,2363,,1375,819,2020,.405,233,720,.324,492,725,.679,341,1146,418,236,102,402,644
167,Marshall,37,23,14,.622,-0.64,-0.61,,11,7,,16,3,,6,10,,2978,2979,,1495,1071,2340,.458,293,826,.355,544,758,.718,433,1551,476,239,96,591,639
168,Maryland-Baltimore County,34,21,13,.618,-5.85,-5.85,,11,5,,13,4,,6,8,,2296,2177,,1400,742,1774,.418,289,874,.331,404,566,.714,266,1132,400,194,88,532,606
169,Maryland-Eastern Shore,32,7,25,.219,-24.21,-7.91,,5,11,,5,7,,2,17,,1833,2291,,1285,786,1725,.456,284,766,.371,435,636,.684,329,1188,469,206,102,405,511
170,Maryland NCAA,34,23,11,.676,16.01,10.09,,13,7,,15,3,,6,5,,2429,2228,,1360,795,2005,.397,252,790,.319,386,534,.723,315,1050,413,236,118,318,595
171,Massachusetts-Lowell,32,15,17,.469,-8.28,-6.95,,7,9,,8,5,,5,12,,2456,2420,,1290,879,1946,.452,215,692,.311,447,632,.707,340,1126,411,230,111,419,615
172,Massachusetts,32,11,21,.344,-3.02,-0.18,,4,14,,9,8,,1,11,,2263,2354,,1290,800,1773,.451,216,617,.350,538,734,.733,288,1037,479,213,114,371,565
173,McNeese State,31,9,22,.290,-14.41,-6.15,,5,13,,7,8,,2,14,,2149,2303,,1245,839,1839,.456,264,735,.359,361,493,.732,318,1029,470,217,87,379,574
174,Memphis,36,22,14,.611,10.70,5.09,,11,7,,17,2,,3,8,,2882,2680,,1450,917,2169,.423,275,855,.322,571,814,.701,404,1292,533,282,163,583,755
175,Mercer,31,11,20,.355,-2.86,-0.24,,6,12,,9,6,,2,12,,2248,2246,,1245,779,1772,.440,289,832,.347,399,591,.675,345,1093,425,205,120,442,586
176,Miami (FL),32,14,18,.438,9.39,8.70,,5,13,,11,5,,0,10,,2297,2275,,1285,852,1888,.451,260,744,.349,311,428,.727,326,1161,455,182,91,436,545
177,Miami (OH),32,15,17,.469,0.77,2.31,,7,11,,10,5,,4,10,,2267,2233,,1285,784,1813,.432,248,745,.333,417,603,.692,269,1099,386,196,103,385,568
178,Michigan State NCAA,39,32,7,.821,24.93,12.34,,16,4,,15,1,,8,4,,3025,2534,,1570,905,2378,.381,280,885,.316,444,654,.679,404,1238,470,243,117,398,694
179,Michigan NCAA,37,30,7,.811,21.82,10.55,,15,5,,17,1,,7,4,,2575,2158,,1480,823,2073,.397,181,623,.291,331,499,.663,320,1273,377,147,121,434,557
180,Middle Tennessee,32,11,21,.344,-6.09,1.44,,8,10,,9,5,,2,11,,2141,2313,,1280,807,1869,.432,259,755,.343,440,621,.709,311,1118,424,245,104,394,508
181,Milwaukee,31,9,22,.290,-8.90,-2.50,,4,14,,6,8,,3,12,,2146,2315,,1245,796,1812,.439,276,817,.338,447,638,.701,305,1125,426,179,107,326,481
182,Minnesota NCAA,36,22,14,.611,12.52,11.27,,9,11,,14,3,,2,9,,2543,2498,,1445,922,2107,.438,243,714,.340,411,594,.692,353,1252,468,209,156,412,693
183,Mississippi State NCAA,34,23,11,.676,15.96,9.07,,10,8,,14,3,,5,5,,2628,2394,,1370,848,1937,.438,253,708,.357,445,622,.715,342,1086,429,199,122,458,559
184,Mississippi Valley State,32,6,26,.188,-22.47,-6.99,,4,14,,6,6,,0,20,,2058,2498,,1285,897,1935,.464,281,729,.385,423,611,.692,351,1281,484,191,132,394,604
185,Mississippi NCAA,33,20,13,.606,12.32,8.13,,10,8,,11,5,,6,5,,2485,2347,,1325,832,1869,.445,241,644,.374,442,627,.705,332,1080,459,203,112,471,563
186,Missouri-Kansas City,32,11,21,.344,-6.61,-1.55,,6,10,,8,5,,3,13,,2220,2341,,1290,825,1774,.465,234,644,.363,457,649,.704,326,1164,424,172,105,466,563
187,Missouri State,32,16,16,.500,-1.20,-1.03,,10,8,,11,4,,5,9,,2206,2157,,1285,749,1656,.452,240,610,.393,419,585,.716,247,1013,389,183,96,460,595
188,Missouri,32,15,17,.469,8.60,9.16,,5,13,,9,7,,2,8,,2150,2168,,1290,738,1719,.429,223,700,.319,469,654,.717,271,1011,370,193,117,386,568
189,Monmouth,35,14,21,.400,-10.66,-4.83,,10,8,,6,6,,5,11,,2286,2490,,1420,788,1879,.419,346,966,.358,568,812,.700,343,1222,463,243,131,515,682
190,Montana State,32,15,17,.469,-7.91,-5.81,,11,9,,9,4,,4,12,,2502,2552,,1280,923,1908,.484,318,849,.375,388,552,.703,273,1099,493,189,75,394,633
191,Montana NCAA,35,26,9,.743,1.50,-5.05,,16,4,,12,2,,9,5,,2665,2397,,1405,823,1906,.432,236,696,.339,515,687,.750,286,1094,373,195,97,472,612
192,Morehead State,33,13,20,.394,-7.73,-1.76,,8,10,,7,7,,4,11,,2431,2543,,1335,924,2029,.455,273,759,.360,422,569,.742,361,1236,463,196,157,424,642
193,Morgan State,30,9,21,.300,-15.98,-10.70,,4,12,,6,7,,2,13,,2161,2304,,1210,804,1726,.466,233,642,.363,463,685,.676,355,1208,429,172,161,530,574
194,Mount St. Mary's,31,9,22,.290,-14.57,-6.02,,6,12,,4,9,,5,13,,2092,2286,,1240,802,1804,.445,247,701,.352,435,604,.720,331,1148,438,192,98,393,551
195,Murray State NCAA,33,28,5,.848,8.96,-3.11,,16,2,,15,1,,10,3,,2727,2255,,1320,827,2014,.411,204,713,.286,397,552,.719,376,1145,374,199,117,464,584
196,Navy,31,12,19,.387,-10.09,-4.00,,8,10,,8,6,,4,13,,2061,2250,,1240,800,1782,.449,258,764,.338,392,530,.740,272,1053,496,229,134,352,532
197,Omaha,32,21,11,.656,-2.32,-3.39,,13,3,,10,2,,9,8,,2523,2454,,1290,890,1896,.469,302,834,.362,372,499,.745,259,1083,432,148,110,389,493
198,Nebraska,36,19,17,.528,14.85,11.31,,6,14,,13,5,,2,10,,2586,2421,,1445,875,2080,.421,237,714,.332,434,613,.708,413,1358,425,173,132,470,629
199,Nevada-Las Vegas,31,17,14,.548,1.58,0.48,,11,7,,10,6,,6,5,,2276,2242,,1250,813,1810,.449,220,617,.357,396,572,.692,299,1054,402,196,76,380,584
200,Nevada NCAA,34,29,5,.853,16.00,2.68,,15,3,,15,0,,9,3,,2723,2270,,1360,815,1984,.411,263,791,.332,375,555,.676,312,1186,421,158,85,461,717
201,New Hampshire,29,5,24,.172,-18.66,-6.03,,3,13,,4,10,,1,14,,1742,1990,,1160,688,1552,.443,198,595,.333,416,596,.698,217,1080,288,156,76,340,453
202,New Mexico State NCAA,35,30,5,.857,10.05,-2.38,,15,1,,16,1,,10,1,,2734,2259,,1405,789,1882,.419,252,755,.334,429,611,.702,236,1003,309,174,66,460,715
203,New Mexico,32,14,18,.438,-0.55,1.61,,7,11,,9,7,,4,9,,2443,2454,,1280,869,1925,.451,230,648,.355,486,708,.686,319,1191,489,223,105,438,653
204,New Orleans,33,19,14,.576,-8.88,-6.47,,12,6,,12,4,,5,9,,2384,2325,,1345,815,1860,.438,202,631,.320,493,699,.705,377,1180,443,262,139,577,599
205,Niagara,32,13,19,.406,-11.33,-7.77,,6,12,,8,8,,5,10,,2318,2432,,1285,902,1946,.464,276,726,.380,352,492,.715,285,1154,458,181,99,365,576
206,Nicholls State,31,14,17,.452,-11.87,-6.98,,7,11,,9,4,,3,13,,2260,2302,,1250,829,1872,.443,198,636,.311,446,634,.703,368,1239,458,150,101,426,435
207,NJIT,35,22,13,.629,-3.63,-4.74,,8,8,,11,5,,11,8,,2472,2401,,1410,872,2041,.427,252,767,.329,405,600,.675,326,1247,439,195,120,444,649
208,Norfolk State,36,22,14,.611,-8.04,-8.74,,14,2,,11,2,,9,8,,2652,2503,,1460,831,2033,.409,279,849,.329,562,837,.671,372,1308,474,175,118,562,683
209,North Alabama,32,10,22,.313,-11.00,-1.69,,7,9,,8,4,,2,18,,2145,2358,,1285,818,1806,.453,232,668,.347,490,698,.702,273,1200,422,206,146,410,539
210,North Carolina-Asheville,31,4,27,.129,-19.81,-2.35,,2,14,,3,10,,1,15,,1857,2313,,1245,810,1702,.476,271,743,.365,422,593,.712,346,1073,536,211,104,366,462
211,North Carolina A&T,32,19,13,.594,-11.24,-9.88,,13,3,,11,2,,7,10,,2241,2209,,1290,790,1855,.426,220,687,.320,409,579,.706,388,1158,434,190,110,455,531
212,North Carolina Central NCAA,34,18,16,.529,-11.53,-11.24,,10,6,,10,2,,4,12,,2429,2266,,1365,831,1911,.435,213,672,.317,391,582,.672,308,1045,442,198,123,450,550
213,North Carolina-Greensboro,36,29,7,.806,4.08,-0.90,,15,3,,15,2,,11,4,,2738,2443,,1445,867,1981,.438,265,766,.346,444,628,.707,348,1218,409,206,105,592,635
214,North Carolina State,36,24,12,.667,14.94,6.22,,9,9,,17,5,,4,6,,2882,2568,,1450,898,2037,.441,216,699,.309,556,790,.704,362,1232,468,224,151,559,628
215,North Carolina-Wilmington,33,10,23,.303,-8.10,-2.04,,5,13,,5,9,,2,12,,2515,2670,,1335,938,1984,.473,330,854,.386,464,634,.732,293,1109,455,206,76,342,594
216,North Carolina NCAA,36,29,7,.806,23.94,11.35,,16,2,,14,2,,11,1,,3089,2636,,1445,935,2248,.416,330,985,.335,434,639,.679,321,1216,507,242,170,501,630
217,North Dakota State NCAA,35,19,16,.543,-4.01,-2.07,,9,7,,10,3,,4,9,,2556,2541,,1410,942,2043,.461,261,721,.362,396,529,.749,284,1164,426,181,95,343,581
218,North Dakota,30,12,18,.400,-8.78,-3.55,,6,10,,8,6,,4,11,,2220,2196,,1200,806,1783,.452,204,599,.341,380,489,.777,254,1054,348,211,65,382,495
219,North Florida,33,16,17,.485,-3.47,-0.70,,9,7,,10,3,,5,13,,2485,2531,,1325,939,2161,.435,214,631,.339,439,628,.699,425,1261,525,304,105,428,523
220,North Texas,33,21,12,.636,-0.25,-3.48,,8,10,,12,4,,6,7,,2302,2077,,1325,718,1766,.407,205,654,.313,436,653,.668,295,1095,352,215,132,451,531
221,Northeastern NCAA,34,23,11,.676,3.95,-0.70,,14,4,,11,2,,8,6,,2564,2406,,1385,889,1931,.460,234,694,.337,394,536,.735,272,1090,403,185,73,383,596
222,Northern Arizona,31,10,21,.323,-10.75,-6.23,,8,12,,5,7,,5,13,,2262,2402,,1250,866,1837,.471,287,801,.358,383,545,.703,275,1113,468,171,89,363,544
223,Northern Colorado,32,21,11,.656,-3.92,-6.76,,15,5,,10,3,,11,5,,2450,2229,,1295,829,1842,.450,210,572,.367,361,502,.719,266,1036,368,204,99,408,594
224,Northern Illinois,34,17,17,.500,2.58,1.11,,8,10,,10,6,,5,9,,2506,2413,,1375,813,1877,.433,301,842,.357,486,718,.677,301,1138,455,171,99,434,558
225,Northern Iowa,34,16,18,.471,-1.54,0.62,,9,9,,9,5,,3,9,,2215,2230,,1360,793,1803,.440,233,691,.337,411,571,.720,244,1115,388,221,82,412,546
226,Northern Kentucky NCAA,35,26,9,.743,4.67,-2.39,,13,5,,17,1,,7,7,,2747,2410,,1410,834,1987,.420,244,778,.314,498,692,.720,317,1141,428,206,133,466,630
227,Northwestern State,31,11,20,.355,-17.06,-5.99,,6,12,,8,7,,3,13,,2051,2280,,1250,792,1827,.433,248,684,.363,448,652,.687,377,1204,446,244,118,440,555
228,Northwestern,32,13,19,.406,9.97,9.16,,4,16,,10,8,,1,9,,2108,2082,,1290,743,1770,.420,166,567,.293,430,602,.714,289,1157,420,184,104,385,547
229,Notre Dame,33,14,19,.424,7.97,8.28,,3,15,,11,8,,1,9,,2266,2276,,1320,861,2006,.429,244,737,.331,310,438,.708,379,1287,423,163,95,359,530
230,Oakland,33,16,17,.485,-2.27,-1.48,,11,7,,10,6,,6,10,,2534,2515,,1325,927,2009,.461,258,739,.349,403,553,.729,365,1180,516,212,97,401,628
231,Ohio State NCAA,35,20,15,.571,13.89,11.00,,8,12,,12,6,,4,7,,2419,2318,,1405,814,1929,.422,236,722,.327,454,613,.741,308,1170,408,218,107,425,651
232,Ohio,31,14,17,.452,-1.84,3.16,,6,12,,11,5,,3,10,,2174,2288,,1255,812,1861,.436,260,727,.358,404,572,.706,300,1114,417,238,73,416,558
233,Oklahoma State,32,12,20,.375,8.09,11.53,,5,13,,8,7,,2,10,,2178,2288,,1285,789,1843,.428,276,780,.354,434,580,.748,332,1154,435,188,108,379,525
234,Oklahoma NCAA,34,20,14,.588,15.30,12.21,,7,11,,11,4,,5,7,,2423,2318,,1365,852,2096,.406,288,865,.333,326,485,.672,368,1253,424,225,125,408,586
235,Old Dominion NCAA,35,26,9,.743,3.74,-1.18,,13,5,,14,2,,8,4,,2300,2128,,1400,737,1887,.391,248,765,.324,408,612,.667,305,1201,390,169,86,424,573
236,Oral Roberts,32,11,21,.344,-9.34,-1.91,,7,9,,7,6,,3,13,,2314,2483,,1285,868,1886,.460,285,749,.381,462,617,.749,285,1056,491,218,90,327,476
237,Oregon State,31,18,13,.581,7.84,4.29,,10,8,,10,5,,6,5,,2275,2165,,1250,762,1764,.432,246,660,.373,395,591,.668,317,1019,398,188,84,370,601
238,Oregon NCAA,38,25,13,.658,13.95,6.13,,10,8,,13,4,,5,7,,2661,2364,,1530,807,2027,.398,267,921,.290,483,688,.702,371,1250,445,197,103,523,629
239,Pacific,32,14,18,.438,-2.46,1.97,,4,12,,9,7,,5,10,,2138,2241,,1290,757,1631,.464,254,708,.359,473,674,.702,223,993,371,190,123,423,640
240,Penn State,32,14,18,.438,12.55,11.51,,7,13,,9,6,,3,9,,2229,2196,,1295,778,1766,.441,208,588,.354,432,602,.718,277,1102,388,216,111,432,579
241,Pennsylvania,31,19,12,.613,2.04,-0.76,,7,7,,10,4,,8,5,,2250,2117,,1265,796,1841,.432,202,603,.335,323,472,.684,287,1110,322,200,87,417,543
242,Pepperdine,34,16,18,.471,0.90,0.63,,6,10,,9,5,,2,11,,2572,2529,,1370,893,1919,.465,262,762,.344,481,685,.702,330,1205,495,211,109,505,692
243,Pittsburgh,33,14,19,.424,7.88,6.69,,3,15,,11,7,,0,11,,2306,2267,,1330,779,1905,.409,260,773,.336,449,627,.716,402,1213,458,217,175,484,658
244,Portland State,32,16,16,.500,-8.95,-5.78,,11,9,,12,4,,3,10,,2475,2404,,1290,819,1769,.463,221,637,.347,545,769,.709,286,1061,446,190,108,478,640
245,Portland,32,7,25,.219,-10.80,0.51,,0,16,,6,11,,1,12,,2078,2389,,1290,830,1865,.445,280,759,.369,449,629,.714,325,1197,506,206,109,357,623
246,Prairie View NCAA,35,22,13,.629,-7.29,-9.17,,17,1,,11,0,,9,12,,2627,2547,,1400,863,1887,.457,215,679,.317,606,875,.693,393,1316,445,174,152,637,758
247,Presbyterian,36,20,16,.556,-3.56,-5.35,,9,7,,12,3,,8,12,,2817,2610,,1445,918,2056,.446,302,860,.351,472,672,.702,320,1279,461,172,96,472,590
248,Princeton,28,16,12,.571,-3.43,-0.89,,8,6,,7,5,,8,6,,1948,1951,,1135,708,1640,.432,192,593,.324,343,472,.727,239,1001,307,184,113,348,459
249,Providence,34,18,16,.529,8.29,6.71,,7,11,,11,7,,5,6,,2428,2374,,1385,834,1927,.433,246,721,.341,460,632,.728,326,1187,425,233,108,480,673
250,Purdue NCAA,36,26,10,.722,21.40,11.99,,16,4,,15,0,,6,6,,2760,2421,,1460,831,1997,.416,295,862,.342,464,634,.732,331,1155,445,179,135,448,614
251,Quinnipiac,31,16,15,.516,-6.78,-8.03,,11,7,,7,7,,9,6,,2294,2255,,1270,840,1893,.444,241,698,.345,334,512,.652,322,1075,381,184,93,335,588
252,Radford,33,22,11,.667,1.28,-1.95,,12,4,,11,3,,9,7,,2440,2247,,1330,788,1814,.434,275,811,.339,396,544,.728,264,1050,395,149,104,405,531
253,Rhode Island,33,18,15,.545,2.83,1.19,,9,9,,9,5,,5,7,,2293,2239,,1335,774,1818,.426,221,685,.323,470,649,.724,312,1140,407,191,115,458,608
254,Rice,32,13,19,.406,-6.56,-2.06,,8,10,,9,7,,4,11,,2367,2481,,1305,891,1987,.448,270,782,.345,429,596,.720,284,1162,463,200,108,363,627
255,Richmond,33,13,20,.394,-1.37,-0.79,,6,12,,7,10,,4,7,,2314,2333,,1320,863,1854,.465,243,706,.344,364,533,.683,322,1174,415,184,103,409,517
256,Rider,31,16,15,.516,-4.96,-6.51,,11,7,,9,3,,6,10,,2381,2333,,1245,814,1774,.459,276,770,.358,429,638,.672,290,1125,470,188,113,525,644
257,Robert Morris,35,18,17,.514,-9.41,-7.62,,11,7,,13,4,,5,13,,2448,2403,,1420,820,1832,.448,237,696,.341,526,711,.740,300,1155,406,224,102,544,637
258,Rutgers,31,14,17,.452,8.89,9.76,,7,13,,10,7,,4,9,,2105,2132,,1250,755,1776,.425,239,677,.353,383,576,.665,303,1082,386,203,109,371,561
259,Sacramento State,31,15,16,.484,-8.78,-6.78,,8,12,,9,5,,4,10,,2197,2155,,1250,742,1676,.443,228,635,.359,443,595,.745,270,1052,408,205,115,474,598
260,Sacred Heart,32,15,17,.469,-7.88,-8.11,,11,7,,10,3,,4,13,,2558,2509,,1285,886,2001,.443,284,765,.371,453,624,.726,312,1089,453,224,124,389,619
261,Saint Francis (PA),33,18,15,.545,-8.74,-6.16,,12,6,,12,4,,6,11,,2517,2510,,1320,904,1953,.463,266,761,.350,436,613,.711,321,1149,457,169,146,412,597
262,Saint Joseph's,33,14,19,.424,-0.43,1.66,,6,12,,10,5,,2,11,,2328,2397,,1325,852,1948,.437,309,859,.360,384,528,.727,282,1225,504,166,79,357,539
263,Saint Louis NCAA,36,23,13,.639,5.06,2.23,,10,8,,15,2,,4,8,,2399,2297,,1440,798,1948,.410,230,732,.314,471,652,.722,305,1191,437,216,139,466,674
264,Saint Mary's (CA) NCAA,34,22,12,.647,12.58,4.40,,11,5,,14,3,,5,5,,2463,2185,,1365,803,1834,.438,186,580,.321,393,534,.736,251,991,346,167,114,358,536
265,Saint Peter's,32,10,22,.313,-12.15,-6.40,,6,12,,7,7,,2,14,,2012,2196,,1305,728,1677,.434,262,679,.386,478,646,.740,284,994,389,229,100,394,548
266,Sam Houston State,33,21,12,.636,-3.17,-5.84,,16,2,,12,2,,8,9,,2476,2307,,1345,774,1775,.436,242,718,.337,517,733,.705,308,1131,430,192,96,498,571
267,Samford,33,17,16,.515,0.69,-2.03,,6,12,,11,6,,5,9,,2583,2487,,1355,872,2088,.418,326,923,.353,417,594,.702,403,1210,471,223,100,441,610
268,San Diego State,34,21,13,.618,5.29,2.47,,11,7,,14,3,,4,7,,2437,2291,,1360,792,1934,.410,263,812,.324,444,639,.695,340,1171,429,199,91,444,649
269,San Diego,36,21,15,.583,6.12,3.61,,7,9,,12,4,,5,9,,2591,2455,,1460,861,1963,.439,210,636,.330,523,722,.724,265,1149,382,239,117,440,670
270,San Francisco,31,21,10,.677,8.56,1.13,,9,7,,13,3,,6,5,,2358,2101,,1250,764,1765,.433,187,586,.319,386,535,.721,276,1040,332,150,119,364,543
271,San Jose State,31,4,27,.129,-16.37,0.59,,1,17,,4,11,,0,12,,2042,2534,,1250,920,1947,.473,348,931,.374,346,530,.653,309,1144,542,243,91,345,595
272,Santa Clara,31,16,15,.516,-1.91,0.92,,8,8,,11,6,,4,6,,2115,2172,,1255,768,1779,.432,193,611,.316,443,629,.704,305,1059,417,201,82,344,544
273,Savannah State,31,11,20,.355,-20.51,-9.04,,8,8,,6,5,,4,14,,2360,2694,,1245,955,2063,.463,302,846,.357,482,673,.716,410,1386,597,222,93,464,495
274,Seattle,33,18,15,.545,-1.47,-3.85,,6,10,,12,6,,4,8,,2420,2283,,1330,776,1901,.408,211,629,.335,520,717,.725,310,1112,318,194,92,374,650
275,Seton Hall NCAA,34,20,14,.588,10.25,8.34,,9,9,,11,4,,3,8,,2508,2443,,1375,845,1974,.428,270,793,.340,481,648,.742,352,1212,449,195,150,477,621
276,Siena,33,17,16,.515,-7.90,-6.47,,11,7,,7,7,,8,7,,2131,2178,,1345,811,1757,.462,226,630,.359,330,479,.689,284,1106,353,156,76,371,465
277,South Alabama,34,17,17,.500,-4.46,-2.71,,8,10,,13,6,,3,10,,2478,2465,,1375,866,1926,.450,247,699,.353,486,709,.685,367,1204,465,194,153,471,605
278,South Carolina State,34,8,26,.235,-16.86,-8.30,,5,11,,5,6,,2,19,,2388,2593,,1375,903,1861,.485,271,740,.366,516,736,.701,320,1112,459,187,113,494,718
279,South Carolina Upstate,32,6,26,.188,-15.30,-4.27,,1,16,,5,9,,1,15,,2169,2395,,1290,839,1816,.462,222,651,.341,495,700,.707,341,1199,432,200,106,429,476
280,South Carolina,32,16,16,.500,8.34,9.63,,11,7,,11,6,,4,8,,2327,2316,,1285,771,1823,.423,245,720,.340,529,715,.740,352,1165,389,216,127,476,623
281,South Dakota State,33,24,9,.727,5.92,-4.74,,14,2,,14,1,,7,6,,2789,2425,,1320,871,2078,.419,341,992,.344,342,499,.685,295,1104,421,181,101,382,610
282,South Dakota,30,13,17,.433,-5.52,-3.06,,7,9,,8,6,,4,8,,2118,2136,,1205,751,1670,.450,218,611,.357,416,558,.746,248,1023,339,152,109,367,568
283,South Florida,38,24,14,.632,5.96,1.69,,8,10,,18,5,,5,7,,2752,2553,,1555,857,2034,.421,243,760,.320,596,866,.688,334,1229,496,264,166,582,845
284,Southeast Missouri State,31,10,21,.323,-11.32,-4.39,,5,13,,6,8,,2,13,,2216,2378,,1265,842,1854,.454,248,774,.320,446,618,.722,315,1135,458,186,114,390,495
285,Southeastern Louisiana,33,17,16,.515,-7.59,-6.30,,12,6,,9,5,,7,9,,2224,2228,,1320,768,1737,.442,201,610,.330,491,669,.734,303,1023,357,232,121,483,637
286,Southern California,33,16,17,.485,8.23,4.96,,8,10,,12,5,,2,9,,2518,2410,,1340,866,2032,.426,263,787,.334,415,610,.680,368,1249,476,192,99,431,570
287,SIU Edwardsville,31,10,21,.323,-14.47,-5.06,,6,12,,7,8,,2,11,,2265,2520,,1280,893,1814,.492,249,675,.369,485,691,.702,286,1159,469,222,93,441,592
288,Southern Illinois,32,17,15,.531,1.39,-0.17,,10,8,,9,6,,7,7,,2194,2144,,1280,781,1830,.427,254,724,.351,328,469,.699,325,1048,398,202,99,407,528
289,Southern Methodist,32,15,17,.469,5.81,4.12,,6,12,,10,8,,3,7,,2303,2249,,1280,793,1853,.428,267,761,.351,396,547,.724,343,1097,493,155,86,370,500
290,Southern Mississippi,33,20,13,.606,2.58,-0.83,,11,7,,11,3,,7,7,,2392,2160,,1330,757,1879,.403,296,879,.337,348,537,.648,321,1174,410,180,93,434,480
291,Southern Utah,34,17,17,.500,-8.91,-6.22,,9,11,,11,4,,4,12,,2573,2566,,1380,872,2028,.430,275,776,.354,547,765,.715,306,1242,428,224,125,445,684
292,Southern,32,7,25,.219,-16.79,-7.37,,6,12,,6,5,,1,18,,2077,2360,,1285,792,1648,.481,219,591,.371,557,807,.690,317,1067,410,203,106,489,565
293,St. Bonaventure,34,18,16,.529,3.34,0.25,,12,6,,9,5,,6,7,,2250,2145,,1385,750,1864,.402,259,802,.323,386,587,.658,336,1154,386,196,97,446,541
294,St. Francis (NY),33,17,16,.515,-10.19,-8.45,,9,9,,11,3,,6,12,,2345,2320,,1325,803,1866,.430,190,587,.324,524,717,.731,319,1237,360,169,125,455,591
295,St. John's (NY) NCAA,34,21,13,.618,7.88,5.50,,8,10,,11,4,,4,7,,2623,2542,,1375,853,1961,.435,283,828,.342,553,779,.710,353,1323,462,176,82,529,579
296,Stanford,31,15,16,.484,6.03,5.13,,8,10,,10,4,,4,9,,2255,2227,,1245,814,1886,.432,178,515,.346,421,620,.679,326,1084,333,200,99,384,605
297,Stephen F. Austin,30,14,16,.467,-10.99,-5.92,,7,11,,10,6,,3,9,,2105,2161,,1210,735,1688,.435,271,741,.366,420,594,.707,330,1050,472,204,86,471,551
298,Stetson,31,7,24,.226,-15.01,-3.46,,3,13,,7,8,,0,16,,2151,2429,,1245,867,1863,.465,277,761,.364,418,600,.697,335,1212,495,201,113,409,478
299,Stony Brook,33,24,9,.727,-2.10,-6.48,,12,4,,10,4,,13,4,,2364,2188,,1335,746,1889,.395,238,793,.300,458,681,.673,322,1140,388,210,130,439,629
300,Syracuse NCAA,34,20,14,.588,13.73,10.09,,10,8,,13,6,,6,4,,2370,2246,,1365,746,1859,.401,294,894,.329,460,637,.722,405,1253,506,225,107,528,626
301,Temple NCAA,33,23,10,.697,8.17,4.93,,13,5,,13,2,,8,5,,2465,2358,,1340,841,1897,.443,239,727,.329,437,643,.680,325,1222,421,182,85,485,550
302,Tennessee-Martin,31,12,19,.387,-10.94,-4.32,,6,12,,10,4,,1,14,,2356,2486,,1250,916,1896,.483,300,786,.382,354,508,.697,354,1123,542,214,99,431,509
